STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/1/2020,," ",74,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/2/2020,,,79,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/3/2020,,,79,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/4/2020,,,82,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/5/2020,,,79,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/6/2020,,,78,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/7/2020,,,71,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/8/2020,1.46,",,S",65,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/9/2020,0.83,",,S",66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/15/2020,,,81,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/16/2020,,,82,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/17/2020,,,82,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/18/2020,,,65,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/19/2020,,,63,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/20/2020,,,68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/21/2020,,,72,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/22/2020,,,70,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/23/2020,,,63,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/24/2020,,,68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/25/2020,,,70,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/26/2020,,,66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/27/2020,,,59,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/28/2020,,,70,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/29/2020,,,74,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/30/2020,,,73,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,1/31/2020,,,81,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/1/2020,,,78,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/2/2020,0.55,",,S",68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/3/2020,0.2,",,S",77,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/4/2020,0,",,S",74,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/5/2020,0.28,",,S",73,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/6/2020,0.2,",,S",65,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/7/2020,0.75,",,S",65,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/8/2020,0.67,",,S",64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/9/2020,0.02,",,S",67,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/10/2020,0.02,",,S",66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/11/2020,0,",,S",67,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/12/2020,,,66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/13/2020,,,69,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/14/2020,,,73,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/15/2020,,,72,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/16/2020,,,71,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/17/2020,0.35,",,S",67,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/18/2020,0.12,",,S",62,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/19/2020,0.43,",,S",67,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/20/2020,1.3,",,S",68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/21/2020,0,",,S",72,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/22/2020,0.02,",,S",71,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/23/2020,0,",,S",58,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/24/2020,,,64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/25/2020,,,69,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/26/2020,,,70,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/27/2020,0.43,",,S",64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/28/2020,0.01,",,S",56,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,2/29/2020,0,",,S",62,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/1/2020,,,66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/2/2020,,,67,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/3/2020,,,69,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/4/2020,,,70,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/5/2020,,,73,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/6/2020,,,75,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/7/2020,,,73,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/8/2020,,,71,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/9/2020,0.04,",,S",68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/10/2020,0.12,",,S",59,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/11/2020,0.31,",,S",67,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/12/2020,0.47,",,S",65,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/13/2020,0.08,",,S",63,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/14/2020,0,",,S",64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/15/2020,,,64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/16/2020,,,59,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/17/2020,,,63,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/18/2020,,,64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/19/2020,,,69,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/20/2020,0.01,",,S",69,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/21/2020,0,",,S",66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/22/2020,,,66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/23/2020,,,66,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/24/2020,,,68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/25/2020,,,68,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/26/2020,,,59,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/27/2020,,,54,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/28/2020,,,61,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/29/2020,,,64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/30/2020,,,65,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,3/31/2020,0.03,",,S",64,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,4/1/2020,0.24,",,S",56,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,4/2/2020,0,",,S",60,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,4/3/2020,,,62,"H,,S"
SF001447910,"NOUPOORT, SF",-31.183,24.95,1496,4/4/2020,,,62,"H,,S"
